patterns,themes
(?:^|[^a-z])cop ?[0-9]+,['climate']
(?:carbon dyoxide|co2?) emission,['climate']
(?:carbon|co2?) capture,['climate']
(?:carbon|co2?) conversion,['climate']
(?:carbon|co2?) sequestration,"['climate', 'energy']"
(?:carbon|co2?) storage,"['climate', 'energy']"
(?:carbon|co2?) valuation,"['climate', 'energy']"
(?:depletion|exhaustion) of natural resources,['resources']
(?:ecosyst[^ ]+|ecolo[^ ]+) challenge,['environment']
(?:ecosyst[^ ]+|ecolo[^ ]+) contamination,['environment']
(?:ecosyst[^ ]+|ecolo[^ ]+) cris[ie]s,['environment']
(?:ecosyst[^ ]+|ecolo[^ ]+) deterioration,['environment']
(?:ecosyst[^ ]+|ecolo[^ ]+) impact,['environment']
(?:ecosyst[^ ]+|ecolo[^ ]+) loss,['environment']
(?:thawing|loss|melting|reduction|shrinking) (?:of )?(?:the )?(?:(?:polar )? ice(?: caps)?),"['climate', 'environment']"
(?:thawing|loss|melting|reduction|shrinking) (?:of )?(?:the )?permafrost,"['climate', 'environment']"
"[bio(?:diversity|sphere), ecolog]",['environment']
"[bio(?:diversity|sphere), ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), collapse, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversity|sphere), consequence, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversity|sphere), destruction, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversite|sphere), erosion, (?:ecolog|environnement|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), extinction, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversite|sphere), evolution, (?:ecolog|environnement|ecosyst[^ ]+)]",['environment']
"[bio(?:diversity|sphere), impact, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversity|sphere), problem, (?:environment|ecology|ecosystem)]",['environment']
"[bioclimat[^ ]+, energ[^ ]+]",['energy']
"[bioclimat[^ ]+, construction]",['energy']
"[bioclimat[^ ]+ design, sustainab(?:le|ility), energy systems?]",['environment']
"[climat, environment, ecology]",['environment']
"[contamination, aquifer]",['environment']
"[contamination, stream]",['environment']
"[contamination, ocean]",['environment']
"[contamination, groundwater]",['environment']
"[degradation, ecosyst[^ ]+, environment]",['environment']
"[degradation, aquifer]",['environment']
"[degradation, stream]",['environment']
"[degradation, ocean]",['environment']
"[degradation, groundwater]",['environment']
"[ecology, anthropocene]","['environment', 'misc']"
"[ecology, climat[^ ]+, agriculture]","['climate', 'environment']"
"[ecology, climat[^ ]+, farming]","['climate', 'environment']"
"[ecology, climat[^ ]+, territory development)]","['environment', 'climate']"
"[ecology, climat[^ ]+ transition]","['environment', 'misc']"
"[ecology, energy transition]","['environment', 'misc']"
"[ecology, multispecies stud(?:y|ies), environment]",['environment']
"[ecology, social transition]","['environment', 'misc']"
"[ecology, sustainability]","['environment', 'misc']"
"[ecosyst[^ ]+, degradation, anthrop(?:ogenic|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, perturbation, anthrop(?:ogenic|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollution, anthrop(?:ogenic|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollution]",['environment']
"[ecosyst[^ ]+, resilience]",['environment']
"[electri[^ ]+, storage]",['energy']
"[electri[^ ]+, green]",['energy']
"[elevation, oceans?, clima[^ ]+]",['climate']
"[elevation, seas?, clima[^ ]+]",['climate']
"[energy consumption, sustainability, environment]",['energy']
"[energy consumption, sustainable development, environment]",['energy']
"[energy consumption, sustainable solution, environment]",['energy']
"[energy performance, sustainability, environment]",['energy']
"[energy performance, sustainable development, environment]",['energy']
"[energy performance, sustainable solutions, environment]",['energy']
"[environnement, (?:de)?pollution, sustainable development]",['sustainability']
"[environnement, sustainability]",['environment']
"[environnement management, ecology, impact]",['environment']
"[extinction, species]",['environment']
"[extinction, insect]",['environment']
"[extinction, bird]",['environment']
"[extraction, impact, environment]",['resources']
"[glaciolog, climatolog, atmospher]",['climate']
"[glaciolog, climatolog, modelisation]",['climate']
"[glaciolog, climatolog, thermodynamic]",['climate']
"[human impact, bio-?geo-?(?:chemi|physi)cal cycle]",['climate']
"[impact, aquifer]",['environment']
