patterns,themes
(?:co2?|kooldioxide)[- ](?:vangst|afvang),['climate']
(?:co2?|kooldioxide)[- ]omzetting,['climate']
(?:co2?|kooldioxide)[- ]voetafdruk,['climate']
(?:co2?|kooldioxide)[- ]uistoot,['climate']
(?:ge|ver)bruik van energie,['energy']
(?:globale?|wereldwijde?) gemiddelde temperatuur,"['climate', 'environment']"
(?:smeltende|dooi) permafrost,"['climate', 'environment']"
(?:vangst|afvang) van (?:co2?|kooldioxide),['climate']
aanpassing aan klimaat(?:verandering)?,"['climate', 'climate']"
beheer(?: inzaa?ke?)? van de klimaatverandering,"['climate', 'sustainability']"
beleid inzake klimaatverandering,['climate']
beleid(?: inzaa?ke?)? van de klimaatverandering,"['climate', 'sustainability']"
biodiversiteit,['environment']
broeikasgas,['climate']
co2?-balans,['climate']
duurzaa?me? beheer,['sustainability']
duurzaa?me? beleid,['sustainability']
duurzaa?me? consumptie,['sustainability']
duurzaa?me? ontwikkeling,['sustainability']
duurzaa?me? praktijk,['sustainability']
duurzaa?me? product(ie)?,['sustainability']
duurzaa?me? verbruik,['sustainability']
ecosysteems?,['environment']
efficientie van energie,['energy']
efficiënt gebruik van hulpbronnen,['sustainability']
energie[- ]?(?:ge|ver)bruik,['energy']
energie[- ]?efficientie,['energy']
energietransitie,['energy']
extreme (?:weer[^ ]*|meteo[^ ]*),['climate']
extreme (?:weersomstandig[^ ]+),['environment']
gemiddelde temperatuur op aarde,"['climate', 'environment']"
gevolgen voor het klimaat,['climate']
groene energie,['energy']
hulpbronnenefficiëntie,['sustainability']
ijsverlies,"['climate', 'environment']"
impact op het klimaat,['climate']
klimaat(?:gerelateerd )?risico,['climate']
klimaat(ologische )?weerstand,['climate']
klimaataanpassing,['climate']
klimaatactie,['climate']
klimaatadaptatie,['climate']
klimaatbeleid,"['climate', 'climate', 'sustainability']"
klimaatbestendigheid,"['climate', 'sustainability']"
klimaatdiplomatie,['climate']
klimaatgerelateerd risico,['sustainability']
klimaatmitigatie,['climate']
klimaatrisico,"['climate', 'sustainability', 'sustainability']"
klimaatverandering,"['climate', 'sustainability']"
klimaatveranderingsbeheer,['sustainability']
klimaatvluchteling,['climate']
klimaatweerstand,['sustainability']
klimatologische weerstand,['sustainability']
koolstofarm,['climate']
koolstofinventaris,['climate']
koolstofverbruik,['climate']
koolstofvoetafdruk,['climate']
koolstofvrij,['climate']
laag koolstofgehalte,['climate']
milieu[- ]?uitdaging,['environment']
milieubeheer,['environment']
milieubeleid,['environment']
milieumanagement,['environment']
omzetting van (?:co2?|kooldioxide),['climate']
ontdooiend Noordpoolgebied,"['climate', 'environment']"
permafrostreductie,"['climate', 'climate', 'environment', 'environment']"
photovoltaische?[- ]?energie,['energy']
planning(?: inzaa?ke?)? van de klimaatverandering,"['climate', 'sustainability']"
smelten (?:ijs(?:kap|dooi)?),"['climate', 'environment']"
smelten pool(?:kap|ijs),"['environment', 'climate']"
verandering in weersomstandigheden,['climate']
verandering van metereologische omstandigheden,['climate']
voetafdruk van (?:co2?|kooldioxide),['climate']
vroegtijdige waarschuwing( inzake)? klimaat,['climate']
windenergie,['energy']
windkracht,['energy']
windmolen,['energy']
windturbine,['energy']
zonne[- ]?energie,['energy']
